IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.204.107,4,4,0.00,1.21,0.00
172.65.249.104,4,4,0.00,1.21,0.00
104.18.143.12,4,4,0.00,1.21,0.00
104.17.235.154,4,4,0.00,1.21,0.00
104.27.118.60,4,4,0.00,1.22,0.00
172.67.13.108,4,4,0.00,1.23,0.00
172.67.21.173,4,4,0.00,1.23,0.00
172.64.52.40,4,4,0.00,1.25,0.00
172.67.20.111,4,4,0.00,1.26,0.00
172.65.118.43,4,4,0.00,1.26,0.00
